complaint,error_code,actual_issue_id,data_source,source_url,verified
"F21 error showing, water won't drain Any ideas?",,70,synthetic,,True
"Leaking from the bottom, big puddle Any ideas?",,63,synthetic,,True
"Leaking from the bottom, big puddle How do I fix this?",,63,synthetic,,True
"Leaks around the door, especially during spin What should I do?",,60,synthetic,,True
"No lights, no sounds, won't start Please help!",,15,synthetic,,True
"Detergent not rinsing out, leaves white marks What should I do?",,31,synthetic,,True
Turns on but won't start the wash cycle What should I do?,,17,synthetic,,True
"Door latch seems broken, won't catch Is this fixable?",,1,synthetic,,True
"Can't open the door, it's still locked and cycle is done Any ideas?",,7,synthetic,,True
"Can't get the door to latch, it bounces back Please help!",,1,synthetic,,True
"Samsung showing dE, door won't unlock",dE,7,synthetic,,True
Says 45 minutes but actually takes 2+ hours Need help ASAP,,40,synthetic,,True
Leak coming from somewhere underneath Warranty just expired of course,,62,synthetic,,True
"Standing water in the drum, won't drain What should I do?",,71,synthetic,,True
"Cycle gets stuck on drain, water just sits there Need help ASAP",,70,synthetic,,True
Clothes have white residue all over them,,30,synthetic,,True
Sounds like it's going to explode during spin cycle Warranty just expired of course,,45,synthetic,,True
"Makes terrible grinding noise, getting worse Is this fixable?",,48,synthetic,,True
"Stuck on the start screen, won't begin washing Please help!",,17,synthetic,,True
"Shaking violently during spin, moving across the floor Is this fixable?",,46,synthetic,,True
Door won't unlock even though wash is complete Is this fixable?,,7,synthetic,,True
Puddle forming under the door every cycle Need help ASAP,,60,synthetic,,True
Leak coming from somewhere underneath Warranty just expired of course,,62,synthetic,,True
"Can't get the door to latch, it bounces back",,2,synthetic,,True
"Stuck door, cycle ended 10 minutes ago but still locked",,7,synthetic,,True
Soapy residue on clothes after wash Any ideas?,,30,synthetic,,True
"Getting F21, clothes soaking wet Any ideas?",F21,70,synthetic,,True
"F22 error, door won't lock What should I do?",F22,2,synthetic,,True
Leak coming from somewhere underneath Is this fixable?,,62,synthetic,,True
"Leaking from the bottom, big puddle",,62,synthetic,,True
"Door won't close properly, keeps popping open",,1,synthetic,,True
Lights work but pressing start does nothing Please help!,,16,synthetic,,True
"F22 error, door won't lock Please help!",F22,2,synthetic,,True
"Door seal is leaking, water on the floor How do I fix this?",,61,synthetic,,True
"Cycle time keeps extending, never finishes on time Is this fixable?",,40,synthetic,,True
"Error code F22, cycle won't start Any ideas?",F22,2,synthetic,,True
Horrible grinding noise when running Warranty just expired of course,,47,synthetic,,True
"Stuck on rinse, been going for an hour",,41,synthetic,,True
dE error on Samsung washer Is this fixable?,dE,7,synthetic,,True
Error F21 showing on display Any ideas?,F21,70,synthetic,,True
"Stuck door, cycle ended 10 minutes ago but still locked",,7,synthetic,,True
Water pooling under the machine What should I do?,,62,synthetic,,True
"F22 error, door won't lock",F22,2,synthetic,,True
"Getting F21, clothes soaking wet Warranty just expired of course",F21,70,synthetic,,True
"Makes terrible grinding noise, getting worse",,48,synthetic,,True
Door won't unlock even though wash is complete Need help ASAP,,7,synthetic,,True
"Door seal is leaking, water on the floor How do I fix this?",,60,synthetic,,True
"Shaking violently during spin, moving across the floor Any ideas?",,45,synthetic,,True
"Stuck on rinse, been going for an hour How do I fix this?",,41,synthetic,,True
Water pooling under the machine Please help!,,63,synthetic,,True
"Leaks around the door, especially during spin",,61,synthetic,,True
"F22 error, door won't lock",F22,2,synthetic,,True
"Stuck on the start screen, won't begin washing Need help ASAP",,17,synthetic,,True
Won't move to the next cycle phase Need help ASAP,,41,synthetic,,True
"Getting F21, clothes soaking wet Any ideas?",F21,70,synthetic,,True
"Loud banging when spinning, whole machine shakes Please help!",,45,synthetic,,True
Leak coming from somewhere underneath Warranty just expired of course,,63,synthetic,,True
"Loud banging when spinning, whole machine shakes Warranty just expired of course",,46,synthetic,,True
Stains not coming out like they used to Need help ASAP,,33,synthetic,,True
Washer filled but won't drain the water out Please help!,,71,synthetic,,True
"Makes terrible grinding noise, getting worse What should I do?",,47,synthetic,,True
"Door latch seems broken, won't catch How do I fix this?",,1,synthetic,,True
"Can't open the door, it's still locked and cycle is done",,7,synthetic,,True
Washer filled but won't drain the water out,,71,synthetic,,True
Vibrates so badly it walks across the laundry room,,46,synthetic,,True
F22 door lock error showing Need help ASAP,F22,2,synthetic,,True
Sounds like it's going to explode during spin cycle Warranty just expired of course,,45,synthetic,,True
"Loud banging when spinning, whole machine shakes What should I do?",,45,synthetic,,True
